DOI,paper_doi,paper_title_x,count_atlas,Publication_PMID,Publication_link,count_lnpdb,lnp_id,ionizable_lipid,peg_lipid,sterol_lipid,helper_lipid,lipid_molar_ratio,particle_size_nm_std,pdi_std,zeta_potential_mv_std,encapsulation_efficiency_percent_std,loading_capacity_std,target_type,nucleic_acid_sequence,peg_lipid_original,ionizable_lipid_original,helper_lipid_original,sterol_lipid_original,ionizable_lipid_smiles,peg_lipid_smiles,sterol_lipid_smiles,helper_lipid_smiles,synthesis_info,bioactivity_profile,paper_title_y,paper_authors,paper_journal,paper_year
10.1016/j.ymthe.2018.03.010,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,11,29653760.0,https://doi.org/10.1016/j.ymthe.2018.03.010,10,113,Custom lipid,PEG-lipid,cholesterol,DSPC,50:10:38.5:1.5,93.8,0.14,,96.9,,mRNA,firefly_luciferase,PEG-lipid,"2-(Di((9Z,12Z)-octadeca-9,12-dien-1-yl)amino)ethan-1-ol",DSPC,cholesterol,CCCCC/C=C\C/C=C\CCCCCCCCN(CCCCCCCC/C=C\C/C=C\CCCCC)CCO,CCCCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 6.25 mM sodium acetate buffer (pH 5); organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: ; post_processing: dialyzed against PBS (pH 7.4) for at least 18 hr, concentrated using Amicon ultra centrifugal filters; sterilization: 0.22-μm filter; storage_buffer: stored at 4°C",animal_model: CD-1 mice; administration_route: i.v.; dose: 0.5 mg/kg mRNA; gene_expression_result: 2-fold lower than MC3 LNP control; biodistribution_result: majority of protein expression localized in liver,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,"['Staci Sabnis', 'E. Sathyajith Kumarasinghe', 'Timothy Salerno', 'Cosmin Mihai', 'Tatiana Ketova', 'Joseph J. Senn', 'Andy Lynn', 'Alex Bulychev', 'Iain McFadyen', 'Joyce Chan', 'Orn Almarsson', 'Matthew G. Stanton', 'Kerry E. Benenato']",Molecular Therapy,2018.0
10.1016/j.ymthe.2018.03.010,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,11,29653760.0,https://doi.org/10.1016/j.ymthe.2018.03.010,10,114,Custom lipid,PEG-lipid,cholesterol,DSPC,50:10:38.5:1.5,179.4,0.14,,91.8,,mRNA,firefly_luciferase,PEG-lipid,"Dinonyl 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",DSPC,cholesterol,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OCCCCCCCCC)CCO,CCCCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 6.25 mM sodium acetate buffer (pH 5); organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: ; post_processing: dialyzed against PBS (pH 7.4) for at least 18 hr, concentrated using Amicon ultra centrifugal filters; sterilization: 0.22-μm filter; storage_buffer: stored at 4°C",animal_model: CD-1 mice; administration_route: i.v.; dose: 0.5 mg/kg mRNA; gene_expression_result: not efficient mRNA delivery,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,"['Staci Sabnis', 'E. Sathyajith Kumarasinghe', 'Timothy Salerno', 'Cosmin Mihai', 'Tatiana Ketova', 'Joseph J. Senn', 'Andy Lynn', 'Alex Bulychev', 'Iain McFadyen', 'Joyce Chan', 'Orn Almarsson', 'Matthew G. Stanton', 'Kerry E. Benenato']",Molecular Therapy,2018.0
10.1016/j.ymthe.2018.03.010,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,11,29653760.0,https://doi.org/10.1016/j.ymthe.2018.03.010,10,115,Custom lipid,PEG-lipid,cholesterol,DSPC,50:10:38.5:1.5,140.4,0.11,,90.9,,mRNA,firefly_luciferase,PEG-lipid,"Nonyl 8-((2-hydroxyethyl)((9Z,12Z)-octadeca-9,12-dien-1-yl)amino)octanoate",DSPC,cholesterol,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC/C=C\C/C=C\CCCCC)CCO,CCCCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 6.25 mM sodium acetate buffer (pH 5); organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: ; post_processing: dialyzed against PBS (pH 7.4) for at least 18 hr, concentrated using Amicon ultra centrifugal filters; sterilization: 0.22-μm filter; storage_buffer: stored at 4°C",animal_model: CD-1 mice; administration_route: i.v.; dose: 0.5 mg/kg mRNA; gene_expression_result: not efficient mRNA delivery,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,"['Staci Sabnis', 'E. Sathyajith Kumarasinghe', 'Timothy Salerno', 'Cosmin Mihai', 'Tatiana Ketova', 'Joseph J. Senn', 'Andy Lynn', 'Alex Bulychev', 'Iain McFadyen', 'Joyce Chan', 'Orn Almarsson', 'Matthew G. Stanton', 'Kerry E. Benenato']",Molecular Therapy,2018.0
10.1016/j.ymthe.2018.03.010,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,11,29653760.0,https://doi.org/10.1016/j.ymthe.2018.03.010,10,116,Custom lipid,PEG-lipid,cholesterol,DSPC,50:10:38.5:1.5,73.1,0.07,,97.6,,mRNA,firefly_luciferase,PEG-lipid,"Heptadecan-9-yl 8-((2-hydroxyethyl)((9Z,12Z)-octadeca-9,12-dien-1-yl)amino)octanoate",DSPC,cholesterol,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCCCC/C=C\C/C=C\CCCCC)CCO,CCCCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 6.25 mM sodium acetate buffer (pH 5); organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: ; post_processing: dialyzed against PBS (pH 7.4) for at least 18 hr, concentrated using Amicon ultra centrifugal filters; sterilization: 0.22-μm filter; storage_buffer: stored at 4°C",animal_model: CD-1 mice; administration_route: i.v.; dose: 0.5 mg/kg mRNA; gene_expression_result: equivalent expression to MC3 LNPs,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,"['Staci Sabnis', 'E. Sathyajith Kumarasinghe', 'Timothy Salerno', 'Cosmin Mihai', 'Tatiana Ketova', 'Joseph J. Senn', 'Andy Lynn', 'Alex Bulychev', 'Iain McFadyen', 'Joyce Chan', 'Orn Almarsson', 'Matthew G. Stanton', 'Kerry E. Benenato']",Molecular Therapy,2018.0
10.1016/j.ymthe.2018.03.010,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,11,29653760.0,https://doi.org/10.1016/j.ymthe.2018.03.010,10,117,Heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,PEG-lipid,cholesterol,DSPC,50:10:38.5:1.5,86.2,0.04,,97.5,CONC:5(molecules/particle)[mRNA],mRNA,"firefly_luciferase, epo, antibody, influenza_antigen",PEG-lipid,Heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,DSPC,cholesterol,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,CCCCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 6.25 mM sodium acetate buffer (pH 5); organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: ; post_processing: dialyzed against PBS (pH 7.4) for at least 18 hr, concentrated using Amicon ultra centrifugal filters; sterilization: 0.22-μm filter; storage_buffer: stored at 4°C","cell_line: HeLa cells; animal_model: CD-1 mice, Sprague-Dawley rats, cynomolgus monkeys; administration_route: i.v.; dose: 0.5 mg/kg (mice), 0.01-1 mg/kg (primates); gene_expression_result: 3-fold higher than MC3, 5-fold higher in non-human primates; biodistribution_result: liver and spleen had highest levels, significantly lower than MC3; toxicity_profile: no adverse findings in 1-month toxicity study, no liver damage or complement activation; cytokine_response: minimal elevation in MCP-1, no significant change in C5b9 levels",A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,"['Staci Sabnis', 'E. Sathyajith Kumarasinghe', 'Timothy Salerno', 'Cosmin Mihai', 'Tatiana Ketova', 'Joseph J. Senn', 'Andy Lynn', 'Alex Bulychev', 'Iain McFadyen', 'Joyce Chan', 'Orn Almarsson', 'Matthew G. Stanton', 'Kerry E. Benenato']",Molecular Therapy,2018.0
10.1016/j.ymthe.2018.03.010,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,11,29653760.0,https://doi.org/10.1016/j.ymthe.2018.03.010,10,118,Custom lipid,PEG-lipid,cholesterol,DSPC,50:10:38.5:1.5,66.8,0.11,,97,,mRNA,firefly_luciferase,PEG-lipid,"Di(heptadecan-9-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",DSPC,cholesterol,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,CCCCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 6.25 mM sodium acetate buffer (pH 5); organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: ; post_processing: dialyzed against PBS (pH 7.4) for at least 18 hr, concentrated using Amicon ultra centrifugal filters; sterilization: 0.22-μm filter; storage_buffer: stored at 4°C",animal_model: CD-1 mice; administration_route: i.v.; dose: 0.5 mg/kg mRNA; gene_expression_result: lower luciferase activity due to lowered surface pKa,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,"['Staci Sabnis', 'E. Sathyajith Kumarasinghe', 'Timothy Salerno', 'Cosmin Mihai', 'Tatiana Ketova', 'Joseph J. Senn', 'Andy Lynn', 'Alex Bulychev', 'Iain McFadyen', 'Joyce Chan', 'Orn Almarsson', 'Matthew G. Stanton', 'Kerry E. Benenato']",Molecular Therapy,2018.0
10.1016/j.ymthe.2018.03.010,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,11,29653760.0,https://doi.org/10.1016/j.ymthe.2018.03.010,10,119,Custom lipid,PEG-lipid,cholesterol,DSPC,50:10:38.5:1.5,130.1,0.15,,95.2,,mRNA,firefly_luciferase,PEG-lipid,Heptadecan-9-yl 8-((2-(dimethylamino)ethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,DSPC,cholesterol,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCN(C)C,CCCCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 6.25 mM sodium acetate buffer (pH 5); organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: ; post_processing: dialyzed against PBS (pH 7.4) for at least 18 hr, concentrated using Amicon ultra centrifugal filters; sterilization: 0.22-μm filter; storage_buffer: stored at 4°C",animal_model: CD-1 mice; administration_route: i.v.; dose: 0.5 mg/kg mRNA; gene_expression_result: complete loss of delivery efficiency,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,"['Staci Sabnis', 'E. Sathyajith Kumarasinghe', 'Timothy Salerno', 'Cosmin Mihai', 'Tatiana Ketova', 'Joseph J. Senn', 'Andy Lynn', 'Alex Bulychev', 'Iain McFadyen', 'Joyce Chan', 'Orn Almarsson', 'Matthew G. Stanton', 'Kerry E. Benenato']",Molecular Therapy,2018.0
10.1016/j.ymthe.2018.03.010,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,11,29653760.0,https://doi.org/10.1016/j.ymthe.2018.03.010,10,120,SM-102,PEG-lipid,cholesterol,DSPC,50:10:38.5:1.5,85.8,0.1,,95.8,,mRNA,"firefly_luciferase, epo",PEG-lipid,Heptadecan-9-yl 8-((2-hydroxyethyl)(6-oxo-6-(undecyloxy)hexyl)amino)octanoate,DSPC,cholesterol,CCCCCCCCCCCOC(=O)CCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO  ,CCCCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 6.25 mM sodium acetate buffer (pH 5); organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: ; post_processing: dialyzed against PBS (pH 7.4) for at least 18 hr, concentrated using Amicon ultra centrifugal filters; sterilization: 0.22-μm filter; storage_buffer: stored at 4°C","animal_model: CD-1 mice, Sprague-Dawley rats; administration_route: i.v.; dose: 0.5 mg/kg (mice), 1 mg/kg (rats); gene_expression_result: higher expression compared to MC3",A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,"['Staci Sabnis', 'E. Sathyajith Kumarasinghe', 'Timothy Salerno', 'Cosmin Mihai', 'Tatiana Ketova', 'Joseph J. Senn', 'Andy Lynn', 'Alex Bulychev', 'Iain McFadyen', 'Joyce Chan', 'Orn Almarsson', 'Matthew G. Stanton', 'Kerry E. Benenato']",Molecular Therapy,2018.0
10.1016/j.ymthe.2018.03.010,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,11,29653760.0,https://doi.org/10.1016/j.ymthe.2018.03.010,10,121,Custom lipid,PEG-lipid,cholesterol,DSPC,50:10:38.5:1.5,91.9,0.16,,97.4,,mRNA,firefly_luciferase,PEG-lipid,Heptadecan-9-yl 8-((2-hydroxyethyl)(4-(nonyloxy)-4-oxobutyl)amino)octanoate,DSPC,cholesterol,CCCCCCCCCOC(=O)CCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,CCCCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 6.25 mM sodium acetate buffer (pH 5); organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: ; post_processing: dialyzed against PBS (pH 7.4) for at least 18 hr, concentrated using Amicon ultra centrifugal filters; sterilization: 0.22-μm filter; storage_buffer: stored at 4°C","animal_model: CD-1 mice, Sprague-Dawley rats; administration_route: i.v.; dose: 0.5 mg/kg mRNA; gene_expression_result: highest luciferase activity of the series",A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,"['Staci Sabnis', 'E. Sathyajith Kumarasinghe', 'Timothy Salerno', 'Cosmin Mihai', 'Tatiana Ketova', 'Joseph J. Senn', 'Andy Lynn', 'Alex Bulychev', 'Iain McFadyen', 'Joyce Chan', 'Orn Almarsson', 'Matthew G. Stanton', 'Kerry E. Benenato']",Molecular Therapy,2018.0
10.1016/j.ymthe.2018.03.010,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,11,29653760.0,https://doi.org/10.1016/j.ymthe.2018.03.010,10,122,Custom lipid,PEG-lipid,cholesterol,DSPC,50:10:38.5:1.5,69.6,0.14,,98.3,,mRNA,firefly_luciferase,PEG-lipid,Henicosan-11-yl 6-((2-hydroxyethyl)(6-oxo-6-(undecyloxy)hexyl)amino)hexanoate,DSPC,cholesterol,CCCCCCCCCCCOC(=O)CCCCCN(CCCCCC(=O)OC(CCCCCCCCCC)CCCCCCCCCC)CCO,CCCCCCCCCCCCCCCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"synthesis_method: Microfluidic; device_used: ; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 6.25 mM sodium acetate buffer (pH 5); organic_phase_composition: ethanol; mixing_time_sec: ; temperature_condition: ; post_processing: dialyzed against PBS (pH 7.4) for at least 18 hr, concentrated using Amicon ultra centrifugal filters; sterilization: 0.22-μm filter; storage_buffer: stored at 4°C",animal_model: CD-1 mice; administration_route: i.v.; dose: 0.5 mg/kg mRNA; gene_expression_result: comparable luciferase activity to lipid 9,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,"['Staci Sabnis', 'E. Sathyajith Kumarasinghe', 'Timothy Salerno', 'Cosmin Mihai', 'Tatiana Ketova', 'Joseph J. Senn', 'Andy Lynn', 'Alex Bulychev', 'Iain McFadyen', 'Joyce Chan', 'Orn Almarsson', 'Matthew G. Stanton', 'Kerry E. Benenato']",Molecular Therapy,2018.0
