"Index","LNP_ID","Experiment_ID","Formulation_ID","IL_name_x","IL_SMILES","IL_protonated_SMILES","IL_head_name","IL_head_SMILES","IL_linker_name","IL_linker_SMILES","IL_tail1_name","IL_tail1_SMILES","IL_tail2_name","IL_tail2_SMILES","IL_tail3_name","IL_tail3_SMILES","IL_tail4_name","IL_tail4_SMILES","IL_molratio_x","IL_to_nucleicacid_massratio","IL_to_nucleicacid_chargeratio","HL_name_x","HL_SMILES","HL_molratio_x","CHL_name_x","CHL_SMILES","CHL_molratio_x","PEG_name_x","PEG_SMILES","PEG_molratio_x","fifthcomponent_name","fifthcomponent_SMILES","fifthcomponent_molratio","Aqueous_buffer","Dialysis_buffer","Mixing_method","Model","Model_type","Model_target","Route_of_administration","Cargo","Cargo_type","Dose_ug_nucleicacid","Experiment_method","Experiment_batching","Experiment_value","Publication_link","Publication_PMID","Heavy.Atoms","Rings","Aromatic.Rings","Rotatable.Bonds","van.der.Waals.Molecular.Volume","Topological.Polar.Surface.Area","Hydrogen.Bond.Donors","Hydrogen.Bond.Acceptors","LogP","Molar.Refractivity","Fraction.sp3.Carbons","sp3.Carbons","Nitrogen.Count","Molecular.Weight","has_ester","has_carbonate","has_disulfide","0","1","2","lnpdb_row_id","IL_name_y","HL_name_y","CHL_name_y","PEG_name_y","IL_molratio_y","HL_molratio_y","CHL_molratio_y","PEG_molratio_y","count_lnpdb","matched_id"
13027,"LNP_0013027","LX_2024","LX_2024_F6","1-A2-8","CCCCCCCCC(=O)Oc1cc(CNCCN(C)CCNCc2cc(OC(=O)CCCCCCCC)cc(OC(=O)CCCCCCCC)c2)cc(OC(=O)CCCCCCCC)c1","CCCCCCCCC(=O)Oc1cc(CNCC[N+](C)(CCNCc2cc(OC(=O)CCCCCCCC)cc(OC(=O)CCCCCCCC)c2)[H])cc(OC(=O)CCCCCCCC)c1",1,"CN(CCN)CCN",,,"A2_T8","CCCCCCCCC(=O)OC1=CC(=CC(=C1)OC(=O)CCCCCCCC)C=O",,,,,,,35,10,,"DOPE","[H][C@@](COP([O-])(OCC[NH3+])=O)(OC(CCCCCCC/C=C\\CCCCCCCC)=O)COC(CCCCCCC/C=C\\CCCCCCCC)=O",16,"Cholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C",46.5,"PEG2000","CCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)O)OC(=O)CCCCCCCCCCCCC",2.5,,,0,"citrate",,"handmixed","in_vitro","HeLa","in_vitro","in_vitro","mRNA","FLuc",0.01,"luminescence_normalized","individual",-0.328714114,"https://www.nature.com/articles/s41467-024-45422-9",38424061,66,2,2,42,921.6806169,132.5,2,11,13.1218,268.3064,0.709090909,0,3,922.346,"True","False","False","1","A2","T8","Row5","1-A2-8","DOPE","Cholesterol","PEG2000",35,16,46.5,2.5,1,"Row5"
13029,"LNP_0013029","LX_2024","LX_2024_F8","1-A2-9","CCCCCCCCCC(=O)Oc1cc(CNCCN(C)CCNCc2cc(OC(=O)CCCCCCCCC)cc(OC(=O)CCCCCCCCC)c2)cc(OC(=O)CCCCCCCCC)c1","CCCCCCCCCC(=O)Oc1cc(CNCC[N+](C)(CCNCc2cc(OC(=O)CCCCCCCCC)cc(OC(=O)CCCCCCCCC)c2)[H])cc(OC(=O)CCCCCCCCC)c1",1,"CN(CCN)CCN",,,"A2_T9","CCCCCCCCCC(=O)OC1=CC(C=O)=CC(OC(=O)CCCCCCCCC)=C1",,,,,,,35,10,,"DOPE","[H][C@@](COP([O-])(OCC[NH3+])=O)(OC(CCCCCCC/C=C\\CCCCCCCC)=O)COC(CCCCCCC/C=C\\CCCCCCCC)=O",16,"Cholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C",46.5,"PEG2000","CCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)O)OC(=O)CCCCCCCCCCCCC",2.5,,,0,"citrate",,"handmixed","in_vitro","HeLa","in_vitro","in_vitro","mRNA","FLuc",0.01,"luminescence_normalized","individual",-0.636091327,"https://www.nature.com/articles/s41467-024-45422-9",38424061,70,2,2,46,977.7432171,132.5,2,11,14.6822,286.7744,0.728813559,0,3,978.454,"True","False","False","1","A2","T9","Row7","1-A2-9","DOPE","Cholesterol","PEG2000",35,16,46.5,2.5,1,"Row7"
13037,"LNP_0013037","LX_2024","LX_2024_F16","2-A2-6","CCCCCCC(=O)Oc1cc(CNCCCN(C)CCCNCc2cc(OC(=O)CCCCCC)cc(OC(=O)CCCCCC)c2)cc(OC(=O)CCCCCC)c1","CCCCCCC(=O)Oc1cc(CNCCC[N+](C)(CCCNCc2cc(OC(=O)CCCCCC)cc(OC(=O)CCCCCC)c2)[H])cc(OC(=O)CCCCCC)c1",2,"CN(CCCN)CCCN",,,"A2_T6","CCCCCCC(=O)OC1=CC(C=O)=CC(OC(=O)CCCCCC)=C1",,,,,,,35,10,,"DOPE","[H][C@@](COP([O-])(OCC[NH3+])=O)(OC(CCCCCCC/C=C\\CCCCCCCC)=O)COC(CCCCCCC/C=C\\CCCCCCCC)=O",16,"Cholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C",46.5,"PEG2000","CCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)O)OC(=O)CCCCCCCCCCCCC",2.5,,,0,"citrate",,"handmixed","in_vitro","HeLa","in_vitro","in_vitro","mRNA","FLuc",0.01,"luminescence_normalized","individual",0.255340616,"https://www.nature.com/articles/s41467-024-45422-9",38424061,60,2,2,36,837.5867165,132.5,2,11,10.7812,240.6044,0.673469388,0,3,838.184,"True","False","False","2","A2","T6","Row15","2-A2-6","DOPE","Cholesterol","PEG2000",35,16,46.5,2.5,1,"Row56"
13042,"LNP_0013042","LX_2024","LX_2024_F21","2-A2-8","CCCCCCCCC(=O)Oc1cc(CNCCCN(C)CCCNCc2cc(OC(=O)CCCCCCCC)cc(OC(=O)CCCCCCCC)c2)cc(OC(=O)CCCCCCCC)c1","CCCCCCCCC(=O)Oc1cc(CNCCC[N+](C)(CCCNCc2cc(OC(=O)CCCCCCCC)cc(OC(=O)CCCCCCCC)c2)[H])cc(OC(=O)CCCCCCCC)c1",2,"CN(CCCN)CCCN",,,"A2_T8","CCCCCCCCC(=O)OC1=CC(=CC(=C1)OC(=O)CCCCCCCC)C=O",,,,,,,35,10,,"DOPE","[H][C@@](COP([O-])(OCC[NH3+])=O)(OC(CCCCCCC/C=C\\CCCCCCCC)=O)COC(CCCCCCC/C=C\\CCCCCCCC)=O",16,"Cholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C",46.5,"PEG2000","CCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)O)OC(=O)CCCCCCCCCCCCC",2.5,,,0,"citrate",,"handmixed","in_vitro","HeLa","in_vitro","in_vitro","mRNA","FLuc",0.01,"luminescence_normalized","individual",-1.518594685,"https://www.nature.com/articles/s41467-024-45422-9",38424061,68,2,2,44,949.711917,132.5,2,11,13.902,277.5404,0.719298246,0,3,950.4,"True","False","False","2","A2","T8","Row20","2-A2-8","DOPE","Cholesterol","PEG2000",35,16,46.5,2.5,1,"Row61"
13044,"LNP_0013044","LX_2024","LX_2024_F23","2-A2-9","CCCCCCCCCC(=O)Oc1cc(CNCCCN(C)CCCNCc2cc(OC(=O)CCCCCCCCC)cc(OC(=O)CCCCCCCCC)c2)cc(OC(=O)CCCCCCCCC)c1","CCCCCCCCCC(=O)Oc1cc(CNCCC[N+](C)(CCCNCc2cc(OC(=O)CCCCCCCCC)cc(OC(=O)CCCCCCCCC)c2)[H])cc(OC(=O)CCCCCCCCC)c1",2,"CN(CCCN)CCCN",,,"A2_T9","CCCCCCCCCC(=O)OC1=CC(C=O)=CC(OC(=O)CCCCCCCCC)=C1",,,,,,,35,10,,"DOPE","[H][C@@](COP([O-])(OCC[NH3+])=O)(OC(CCCCCCC/C=C\\CCCCCCCC)=O)COC(CCCCCCC/C=C\\CCCCCCCC)=O",16,"Cholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C",46.5,"PEG2000","CCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)O)OC(=O)CCCCCCCCCCCCC",2.5,,,0,"citrate",,"handmixed","in_vitro","HeLa","in_vitro","in_vitro","mRNA","FLuc",0.01,"luminescence_normalized","individual",-0.31699853,"https://www.nature.com/articles/s41467-024-45422-9",38424061,72,2,2,48,1005.774517,132.5,2,11,15.4624,296.0084,0.737704918,0,3,1006.508,"True","False","False","2","A2","T9","Row22","2-A2-9","DOPE","Cholesterol","PEG2000",35,16,46.5,2.5,1,"Row63"
13052,"LNP_0013052","LX_2024","LX_2024_F31","3-A2-6","CCCCCCC(=O)Oc1cc(CNCCN2CCN(CCNCc3cc(OC(=O)CCCCCC)cc(OC(=O)CCCCCC)c3)CC2)cc(OC(=O)CCCCCC)c1","CCCCCCC(=O)Oc1cc(CNCC[N+]2([H])CCN(CCNCc3cc(OC(=O)CCCCCC)cc(OC(=O)CCCCCC)c3)CC2)cc(OC(=O)CCCCCC)c1",3,"C(CN1CCN(CCN)CC1)N",,,"A2_T6","CCCCCCC(=O)OC1=CC(C=O)=CC(OC(=O)CCCCCC)=C1",,,,,,,35,10,,"DOPE","[H][C@@](COP([O-])(OCC[NH3+])=O)(OC(CCCCCCC/C=C\\CCCCCCCC)=O)COC(CCCCCCC/C=C\\CCCCCCCC)=O",16,"Cholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C",46.5,"PEG2000","CCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)O)OC(=O)CCCCCCCCCCCCC",2.5,,,0,"citrate",,"handmixed","in_vitro","HeLa","in_vitro","in_vitro","mRNA","FLuc",0.01,"luminescence_normalized","individual",0.488186115,"https://www.nature.com/articles/s41467-024-45422-9",38424061,62,3,2,34,864.5976155,135.74,2,12,9.6868,246.7534,0.68,0,4,865.21,"True","False","False","3","A2","T6","Row30","3-A2-6","DOPE","Cholesterol","PEG2000",35,16,46.5,2.5,1,"Row71"
13057,"LNP_0013057","LX_2024","LX_2024_F36","3-A2-8","CCCCCCCCC(=O)Oc1cc(CNCCN2CCN(CCNCc3cc(OC(=O)CCCCCCCC)cc(OC(=O)CCCCCCCC)c3)CC2)cc(OC(=O)CCCCCCCC)c1","CCCCCCCCC(=O)Oc1cc(CNCC[N+]2([H])CCN(CCNCc3cc(OC(=O)CCCCCCCC)cc(OC(=O)CCCCCCCC)c3)CC2)cc(OC(=O)CCCCCCCC)c1",3,"C(CN1CCN(CCN)CC1)N",,,"A2_T8","CCCCCCCCC(=O)OC1=CC(=CC(=C1)OC(=O)CCCCCCCC)C=O",,,,,,,35,10,,"DOPE","[H][C@@](COP([O-])(OCC[NH3+])=O)(OC(CCCCCCC/C=C\\CCCCCCCC)=O)COC(CCCCCCC/C=C\\CCCCCCCC)=O",16,"Cholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C",46.5,"PEG2000","CCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)O)OC(=O)CCCCCCCCCCCCC",2.5,,,0,"citrate",,"handmixed","in_vitro","HeLa","in_vitro","in_vitro","mRNA","FLuc",0.01,"luminescence_normalized","individual",-1.431907543,"https://www.nature.com/articles/s41467-024-45422-9",38424061,70,3,2,42,976.722816,135.74,2,12,12.8076,283.6894,0.724137931,0,4,977.426,"True","False","False","3","A2","T8","Row35","3-A2-8","DOPE","Cholesterol","PEG2000",35,16,46.5,2.5,1,"Row76"
13059,"LNP_0013059","LX_2024","LX_2024_F38","3-A2-9","CCCCCCCCCC(=O)Oc1cc(CNCCN2CCN(CCNCc3cc(OC(=O)CCCCCCCCC)cc(OC(=O)CCCCCCCCC)c3)CC2)cc(OC(=O)CCCCCCCCC)c1","CCCCCCCCCC(=O)Oc1cc(CNCC[N+]2([H])CCN(CCNCc3cc(OC(=O)CCCCCCCCC)cc(OC(=O)CCCCCCCCC)c3)CC2)cc(OC(=O)CCCCCCCCC)c1",3,"C(CN1CCN(CCN)CC1)N",,,"A2_T9","CCCCCCCCCC(=O)OC1=CC(C=O)=CC(OC(=O)CCCCCCCCC)=C1",,,,,,,35,10,,"DOPE","[H][C@@](COP([O-])(OCC[NH3+])=O)(OC(CCCCCCC/C=C\\CCCCCCCC)=O)COC(CCCCCCC/C=C\\CCCCCCCC)=O",16,"Cholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C",46.5,"PEG2000","CCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)O)OC(=O)CCCCCCCCCCCCC",2.5,,,0,"citrate",,"handmixed","in_vitro","HeLa","in_vitro","in_vitro","mRNA","FLuc",0.01,"luminescence_normalized","individual",-0.71779568,"https://www.nature.com/articles/s41467-024-45422-9",38424061,74,3,2,46,1032.785416,135.74,2,12,14.368,302.1574,0.741935484,0,4,1033.534,"True","False","False","3","A2","T9","Row37","3-A2-9","DOPE","Cholesterol","PEG2000",35,16,46.5,2.5,1,"Row78"
13067,"LNP_0013067","LX_2024","LX_2024_F46","4-A2-6","CCCCCCC(=O)Oc1cc(CNCCCN2CCN(CCCNCc3cc(OC(=O)CCCCCC)cc(OC(=O)CCCCCC)c3)CC2)cc(OC(=O)CCCCCC)c1","CCCCCCC(=O)Oc1cc(CNCCC[N+]2([H])CCN(CCCNCc3cc(OC(=O)CCCCCC)cc(OC(=O)CCCCCC)c3)CC2)cc(OC(=O)CCCCCC)c1",4,"C(CN)CN1CCN(CCCN)CC1",,,"A2_T6","CCCCCCC(=O)OC1=CC(C=O)=CC(OC(=O)CCCCCC)=C1",,,,,,,35,10,,"DOPE","[H][C@@](COP([O-])(OCC[NH3+])=O)(OC(CCCCCCC/C=C\\CCCCCCCC)=O)COC(CCCCCCC/C=C\\CCCCCCCC)=O",16,"Cholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C",46.5,"PEG2000","CCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)O)OC(=O)CCCCCCCCCCCCC",2.5,,,0,"citrate",,"handmixed","in_vitro","HeLa","in_vitro","in_vitro","mRNA","FLuc",0.01,"luminescence_normalized","individual",0.053149332,"https://www.nature.com/articles/s41467-024-45422-9",38424061,64,3,2,36,892.6289156,135.74,2,12,10.467,255.9874,0.692307692,0,4,893.264,"True","False","False","4","A2","T6","Row45","4-A2-6","DOPE","Cholesterol","PEG2000",35,16,46.5,2.5,1,"Row86"
13072,"LNP_0013072","LX_2024","LX_2024_F51","4-A2-8","CCCCCCCCC(=O)Oc1cc(CNCCCN2CCN(CCCNCc3cc(OC(=O)CCCCCCCC)cc(OC(=O)CCCCCCCC)c3)CC2)cc(OC(=O)CCCCCCCC)c1","CCCCCCCCC(=O)Oc1cc(CNCCC[N+]2([H])CCN(CCCNCc3cc(OC(=O)CCCCCCCC)cc(OC(=O)CCCCCCCC)c3)CC2)cc(OC(=O)CCCCCCCC)c1",4,"C(CN)CN1CCN(CCCN)CC1",,,"A2_T8","CCCCCCCCC(=O)OC1=CC(=CC(=C1)OC(=O)CCCCCCCC)C=O",,,,,,,35,10,,"DOPE","[H][C@@](COP([O-])(OCC[NH3+])=O)(OC(CCCCCCC/C=C\\CCCCCCCC)=O)COC(CCCCCCC/C=C\\CCCCCCCC)=O",16,"Cholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C",46.5,"PEG2000","CCCCCCCCCCCCCC(=O)OCC(COP(=O)(OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)O)OC(=O)CCCCCCCCCCCCC",2.5,,,0,"citrate",,"handmixed","in_vitro","HeLa","in_vitro","in_vitro","mRNA","FLuc",0.01,"luminescence_normalized","individual",-1.418254434,"https://www.nature.com/articles/s41467-024-45422-9",38424061,72,3,2,44,1004.754116,135.74,2,12,13.5878,292.9234,0.733333333,0,4,1005.48,"True","False","False","4","A2","T8","Row50","4-A2-8","DOPE","Cholesterol","PEG2000",35,16,46.5,2.5,1,"Row91"
