DOI,paper_doi,paper_title_x,count_atlas,Publication_PMID,Publication_link,count_lnpdb,lnp_id,ionizable_lipid,peg_lipid,sterol_lipid,helper_lipid,lipid_molar_ratio,particle_size_nm_std,pdi_std,zeta_potential_mv_std,encapsulation_efficiency_percent_std,loading_capacity_std,target_type,nucleic_acid_sequence,peg_lipid_original,ionizable_lipid_original,helper_lipid_original,sterol_lipid_original,ionizable_lipid_smiles,peg_lipid_smiles,sterol_lipid_smiles,helper_lipid_smiles,synthesis_info,bioactivity_profile,paper_title_y,paper_authors,paper_journal,paper_year
10.1038/s41467-024-50619-z,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,33,39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,1,Custom lipid,DMG-PEG2000,cholesterol,DOPE,60:20:19.5:0.5,108.0 ± 2.1,0.19 ± 0.01,'-2.28,92.08 ± 2.5,,mRNA,"firefly_luciferase, cre_recombinase",DMG-PEG2000,(Z)-5-(octadec-9-en-1-ylamino)-5-oxo-4-(piperidin-1-ylamino)pentyl octanoate,DOPE,cholesterol,,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,"synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: dialysis against PBS, 20,000 MWCO; sterilization: ; storage_buffer: PBS at 4°C","cell_line: HeLa, C2C12; animal_model: C57BL/6 mice, ROSAmT/mG reporter mice; administration_route: intramuscular (IM); dose: 0.5 mg/kg mRNA; gene_expression_result: 7.8x higher than MC3 in muscle; biodistribution_result: muscle-specific, lower liver accumulation; toxicity_profile: lower ALT/AST levels than ALC-0315",AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0
10.1038/s41467-024-50619-z,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,33,39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,2,Custom lipid,DMG-PEG2000,cholesterol,DOPE,35:16:46.5:2.5,134.6,0.14,,,,mRNA,firefly_luciferase,DMG-PEG2000,H1,DOPE,cholesterol,CCCCCCCCC/C=C/CCCCCCCCC(=O)N(N)CCCCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.81 (Log2) in vitro, 3.625E+04 in vivo",AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0
10.1038/s41467-024-50619-z,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,33,39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,3,Custom lipid,DMG-PEG2000,cholesterol,DOPE,35:16:46.5:2.5,138,0.14,,,,mRNA,firefly_luciferase,DMG-PEG2000,H2,DOPE,cholesterol,CCCCCC(C)CCCC(=O)OCCC(N(C)N)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 6.32 (Log2) in vitro, 3.494E+04 in vivo",AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0
10.1038/s41467-024-50619-z,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,33,39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,4,Custom lipid,DMG-PEG2000,cholesterol,DOPE,35:16:46.5:2.5,108.7,0.09,,,,mRNA,firefly_luciferase,DMG-PEG2000,H3,DOPE,cholesterol,CCCCCCC/C=C/CCCCCCCCC(N(C)N)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.01 (Log2) in vitro, 1.941E+04 in vivo",AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0
10.1038/s41467-024-50619-z,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,33,39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,5,Custom lipid,DMG-PEG2000,cholesterol,DOPE,35:16:46.5:2.5,110,0.17,,,,mRNA,firefly_luciferase,DMG-PEG2000,H4,DOPE,cholesterol,CCCCCC(C)CCCC(=O)OCCC(NCCCCN(CCCC)CCCCC)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.63 (Log2) in vitro, 4.065E+04 in vivo",AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0
10.1038/s41467-024-50619-z,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,33,39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,6,Custom lipid,DMG-PEG2000,cholesterol,DOPE,35:16:46.5:2.5,122.6,0.14,,,,mRNA,firefly_luciferase,DMG-PEG2000,H5,DOPE,cholesterol,CCCCCCCCC/C=C/CCCCCCCCC(NCCCCN(CCCC)CCCCCC)C(=O)NCCCCCCCCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 9.95 (Log2) in vitro, 1.384E+05 in vivo",AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0
10.1038/s41467-024-50619-z,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,33,39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,7,Custom lipid,DMG-PEG2000,cholesterol,DOPE,35:16:46.5:2.5,119.9,0.15,,,,mRNA,firefly_luciferase,DMG-PEG2000,H6,DOPE,cholesterol,CCCCCCCC/C=C/C(=O)OCCC(NCCCCN(CCCC)CCCCCC)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 9.61 (Log2) in vitro, 3.299E+04 in vivo",AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0
10.1038/s41467-024-50619-z,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,33,39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,8,Custom lipid,DMG-PEG2000,cholesterol,DOPE,35:16:46.5:2.5,134.8,0.01,,,,mRNA,firefly_luciferase,DMG-PEG2000,H7,DOPE,cholesterol,CCCCCC(C)CCCC(=O)OCCC(NN1CCCCCC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 5.43 (Log2) in vitro, 7.301E+04 in vivo",AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0
10.1038/s41467-024-50619-z,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,33,39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,9,Custom lipid,DMG-PEG2000,cholesterol,DOPE,35:16:46.5:2.5,132.9,0.09,,,,mRNA,firefly_luciferase,DMG-PEG2000,H8,DOPE,cholesterol,CCCCCCCC/C=C/C(=O)OCCC(NN1CCCCCC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 4.09 (Log2) in vitro, 1.892E+04 in vivo",AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0
10.1038/s41467-024-50619-z,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,33,39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,10,Custom lipid,DMG-PEG2000,cholesterol,DOPE,35:16:46.5:2.5,127.5,0.15,,,,mRNA,firefly_luciferase,DMG-PEG2000,H10,DOPE,cholesterol,CCCCCC(C)CCC(=O)OCCC(NCCN(C(C)C)C(C)C)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 6.51 (Log2) in vitro, 3.379E+04 in vivo",AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0
10.1038/s41467-024-50619-z,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,33,39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,11,Custom lipid,DMG-PEG2000,cholesterol,DOPE,35:16:46.5:2.5,151,0.16,,,,mRNA,firefly_luciferase,DMG-PEG2000,H11,DOPE,cholesterol,CCCCCCC/C=C/C(=O)OCCC(NCCN(C(C)C)C(C)C)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.77 (Log2) in vitro, 5.005E+05 in vivo",AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0
