Experiment_ID,IL_name,Experiment_method,Experiment_value,IL_molratio,HL_name,HL_molratio,CHL_name,CHL_molratio,PEG_name,PEG_molratio,IL_to_nucleicacid_massratio,Aqueous_buffer,Mixing_method,Model,Model_type,Model_target,Route_of_administration,Cargo,Cargo_type,Dose_ug_nucleicacid
Compound 2,Heptadecan-9-yl 8-((2-hydroxyethyl)(tetradecyl)amino)octanoate,Representative Procedure 1 (Method C),638.91 (MH+),,,,,,,,,,,,,,,,,
Compound 1,Heptadecan-9-yl 8-((2-hydroxyethyl)(octadecyl)amino)octanoate,Representative Procedure 1,694.93 (MH+),,,,,,,,,,,,,,,,,
Compound 3,Heptadecan-9-yl 8-((2-hydroxyethyl)(nonyl)amino)octanoate,Representative Procedure 1,568.80 (MH+),,,,,,,,,,,,,,,,,
Compound 4,Heptadecan-9-yl 8-((2-hydroxyethyl)(octyl)amino)octanoate,Representative Procedure 1,554.777 (MH+),,,,,,,,,,,,,,,,,
Compound 5,Heptadecan-9-yl 8-(hexyl(2-hydroxyethyl)amino)octanoate,Representative Procedure 1,526.73 (MH+),,,,,,,,,,,,,,,,,
Compound 6,"Heptadecan-9-yl 8-((2-hydroxyethyl)((9Z,12Z)-octadeca-9,12-dien-1-yl)amino)octanoate",Representative Procedure 1,690.84 (MH+),,,,,,,,,,,,,,,,,
Compound 7,Heptadecan-9-yl 8-((3-hydroxypropyl)(nonyl)amino)octanoate,Representative Procedure 1,582.987 (MH+),,,,,,,,,,,,,,,,,
Compound 8,Heptadecan-9-yl 8-((3-(1H-imidazol-1-yl)propyl)(nonyl)amino)octanoate,Representative Procedure 1,633.994 (MH+),,,,,,,,,,,,,,,,,
Compound 9,Heptadecan-9-yl 8-((2-acetoxyethyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,753.07 (MH+),,,,,,,,,,,,,,,,,
Compound 10,Heptadecan-9-yl 8-((2-hydroxypropyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,725.10 (MH+),,,,,,,,,,,,,,,,,
Compound 11,Heptadecan-9-yl (R)-8-((2-hydroxypropyl)(8-(nonyloxy)-8-oxooctyl) amino)octanoate,Representative Procedure 1,725.02 (MH+),,,,,,,,,,,,,,,,,
Compound 12,Heptadecan-9-yl (S)-8-((2-hydroxypropyl)(8-(nonyloxy)-8-oxooctyl) amino)octanoate,Representative Procedure 1,725.10 (MH+),,,,,,,,,,,,,,,,,
Compound 13,Heptadecan-9-yl 8-((2-hydroxybutyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,739.21 (MH+),,,,,,,,,,,,,,,,,
Compound 14,Heptadecan-9-yl 8-((2-(dimethylamino)ethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,738.23 (MH+),,,,,,,,,,,,,,,,,
Compound 15,Heptadecan-9-yl 8-((2-methoxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,725.19 (MH+),,,,,,,,,,,,,,,,,
Compound 16,Heptadecan-9-yl 8-((3-methoxypropyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,739.13 (MH+),,,,,,,,,,,,,,,,,
Compound 17,Heptadecan-9-yl 8-((2-(2-(dimethylamino)ethoxy)ethyl) (8-(nonyloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,782.27 (MH+),,,,,,,,,,,,,,,,,
Compound 18,Heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,710.89 (MH+),,,,,,,,,,,,,,,,,
Compound 19,Heptadecan-9-yl 8-((3-hydroxypropyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,725.19 (MH+),,,,,,,,,,,,,,,,,
Compound 20,Heptadecan-9-yl 8-((4-hydroxybutyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,739.21 (MH+),,,,,,,,,,,,,,,,,
Compound 21,Heptadecan-9-yl 8-((2-cyanoethyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,Representative Procedure 1,720.18 (MH+),,,,,,,,,,,,,,,,,
Compound 22,Heptadecan-9-yl 8-((2-hydroxycyclohexyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,765.21 (MH+),,,,,,,,,,,,,,,,,
Compound 23,Heptadecan-9-yl 10-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino) decanoate,Representative Procedure 1,739.13 (MH+),,,,,,,,,,,,,,,,,
Compound 24,Heptadecan-9-yl (Z)-8-((2-hydroxyethyl) (8-(non-2-en-1-yloxy)-8-oxooctyl)amino)octanoate,Representative Procedure 1,708.95 (MH+),,,,,,,,,,,,,,,,,
Compound 25,Heptadecan-9-yl 8-((2-hydroxyethyl)(6-oxo-6-(undecyloxy)hexyl)amino)octanoate,Representative Procedure 1,711.00 (MH+),,,,,,,,,,,,,,,,,
