Chemical_Name_Filled,1위,1위_count,2위,2위_count
18:0 Diether PC,"InChI=1S/C44H88NO6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-48-42-44(43-51-52(46,47)50-41-38-45(3,4)5)49-40-37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h36-37,39-40,44H,6-35,38,41-43H2,1-5H3/t44-/m1/s1",1,,
BA. Compound 136,"InChI=1S/C37H71NO3/c1-3-5-7-9-11-12-13-14-15-16-17-18-19-20-24-28-32-38(34-35-39)33-29-25-22-23-27-31-37(40)41-36-30-26-21-10-8-6-4-2/h11-12,14-15,39H,3-10,13,16-36H2,1-2H3/b12-11-,15-14-",1,,
BB. Compound 137,"InChI=1S/C27H55NO3/c1-3-4-5-6-7-8-11-14-17-20-23-28(25-26-29)24-21-18-15-12-9-10-13-16-19-22-27(30)31-2/h29H,3-26H2,1-2H3",1,,
BG,"InChI=1S/C28H55NO5/c1-33-27(31)21-17-13-9-5-3-7-11-15-19-23-29(25-26-30)24-20-16-12-8-4-6-10-14-18-22-28(32)34-2/h30H,3-26H2,1-2H3",1,,
Compound 101,"InChI=1S/C49H97N3O4/c1-5-8-11-14-17-26-33-46-55-48(53)36-29-22-18-24-31-38-51(44-45-52-42-40-50(4)41-43-52)39-32-25-19-23-30-37-49(54)56-47(34-27-20-15-12-9-6-2)35-28-21-16-13-10-7-3/h47H,5-46H2,1-4H3",1,,
Compound 103,"InChI=1S/C48H94N2O5/c1-4-7-10-13-16-25-32-43-54-47(51)35-28-21-17-23-30-37-49(39-40-50-41-44-53-45-42-50)38-31-24-18-22-29-36-48(52)55-46(33-26-19-14-11-8-5-2)34-27-20-15-12-9-6-3/h46H,4-45H2,1-3H3",1,,
Compound 108,"InChI=1S/C47H92N2O5/c1-5-8-11-14-17-26-33-43-53-46(51)37-29-22-18-24-31-40-49(42-34-39-48-44(4)50)41-32-25-19-23-30-38-47(52)54-45(35-27-20-15-12-9-6-2)36-28-21-16-13-10-7-3/h45H,5-43H2,1-4H3,(H,48,50)",1,,
Compound 109,"InChI=1S/C46H92N2O6S/c1-5-8-11-14-17-26-33-43-53-45(49)37-29-22-18-24-31-40-48(42-34-39-47-55(4,51)52)41-32-25-19-23-30-38-46(50)54-44(35-27-20-15-12-9-6-2)36-28-21-16-13-10-7-3/h44,47H,5-43H2,1-4H3",1,,
Compound 110,"InChI=1S/C48H95N3O5/c1-6-9-12-15-18-27-34-44-55-46(52)38-30-23-19-25-32-41-51(43-35-40-49-48(54)50(4)5)42-33-26-20-24-31-39-47(53)56-45(36-28-21-16-13-10-7-2)37-29-22-17-14-11-8-3/h45H,6-44H2,1-5H3,(H,49,54)",1,,
Compound 111,"InChI=1S/C48H95N3O4S/c1-6-9-12-15-18-27-34-44-54-46(52)38-30-23-19-25-32-41-51(43-35-40-49-48(56)50(4)5)42-33-26-20-24-31-39-47(53)55-45(36-28-21-16-13-10-7-2)37-29-22-17-14-11-8-3/h45H,6-44H2,1-5H3,(H,49,56)",1,,
