Name_Number,1위,1위_count,2위,2위_count
100,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN/C(=N/[N+](=O)[O-])NC,1,,
101,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCN1CCN(C)CC1,1,,
103,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCN1CCOCC1,1,,
107,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=N)N,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN=C(NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,1.0
108,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(C)=O,1,,
109,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNS(C)(=O)=O,1,,
110,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)N(C)C,1,,
111,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=S)N(C)C,1,,
112,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)NC,1,,
113,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=S)NC,1,,
114,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1ccc(=O)[nH]c1=O,1,,
115,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1ccc(N)nc1=O,1,,
116,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1cnc2c(N)ncnc21,1,,
118,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)Oc1ccc(CCCCC)c(CCCCC)c1,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1cc(CO)nn1,1.0
119,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)Oc1ccc(CCCCC)cc1,1,,
120,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)Oc1cccc(CCCCC)c1,1,,
121,CCCCCCCCCOC(=O)CCCCCCCN(CCCN)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
122,CCCCCCCCC(C)OC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
123,CCCCCCCCCOC(=O)CCCCCCCN(C)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
124,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(C)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
125,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCC(=O)O,1,,
126,CCCCCCCCCOC(=O)CCCN(C)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
128,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC(=O)OC(CCCCCCCC)C1CC1,1,,
129,CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)N(CCCCCCCC)CCCCCCCC,1,,
130,CCCCCCCCC(C)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)N(CCCCCCCC)CCCCCCCC,1,,
131,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCOP(=O)(OCCCCCCCC)OCCCCCCCC,1,,
132,CCCCCCCCOP(=O)(OCCCCCCCC)OCCCCCCCN(CCO)CCCCCCCC(=O)OC(C)CCCCCCCC,1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCC(=O)OC1CCC(CCCCC)CC1,1.0
134,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCCCOC(=O)C(CCCCCC)CCCCCCCC,1,,
135,CCCCCCCCC(C)OC(=O)CCCCCCCN(CCO)CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC,1,,
136,CCCCC/C=C\C/C=C\CCCCCCCCN(CCO)CCCCCCCC(=O)OCCCCCCCCC,1,,
137,CCCCCCCCCCCCN(CCO)CCCCCCCCCCCC(=O)OC,1,,
