Chemical_Name_Filled,1위,1위_count,2위,2위_count
18:0 Diether PC,CCCCCCCCCCCCCCCCC=COC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC=CCCCCCCCCCCCCCCCC,1,,
BA. Compound 136,CCCCC/C=C\C/C=C\CCCCCCCCN(CCO)CCCCCCCC(=O)OCCCCCCCCC,1,,
BB. Compound 137,CCCCCCCCCCCCN(CCO)CCCCCCCCCCCC(=O)OC,1,,
BG,COC(=O)CCCCCCCCCCCN(CCO)CCCCCCCCCCCC(=O)OC,1,,
Compound 101,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCN1CCN(C)CC1,1,,
Compound 103,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCN1CCOCC1,1,,
Compound 108,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(C)=O,1,,
Compound 109,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNS(C)(=O)=O,1,,
Compound 110,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)N(C)C,1,,
Compound 111,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=S)N(C)C,1,,
Compound 112,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=O)NC,1,,
Compound 113,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=S)NC,1,,
Compound 114,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1ccc(=O)[nH]c1=O,1,,
Compound 115,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1ccc(N)nc1=O,1,,
Compound 116,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1cnc2c(N)ncnc21,1,,
Compound 118,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)Oc1ccc(CCCCC)c(CCCCC)c1,1,,
Compound 119,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)Oc1ccc(CCCCC)cc1,1,,
Compound 120,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)Oc1cccc(CCCCC)c1,1,,
Compound 121,CCCCCCCCCOC(=O)CCCCCCCN(CCCN)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 122,CCCCCCCCC(C)OC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 123,CCCCCCCCCOC(=O)CCCCCCCN(C)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 124,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(C)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 125,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCC(=O)O,1,,
Compound 126,CCCCCCCCCOC(=O)CCCN(C)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 128,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC(=O)OC(CCCCCCCC)C1CC1,1,,
Compound 129,CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)N(CCCCCCCC)CCCCCCCC,1,,
Compound 130,CCCCCCCCC(C)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)N(CCCCCCCC)CCCCCCCC,1,,
Compound 131,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCOP(=O)(OCCCCCCCC)OCCCCCCCC,1,,
Compound 132,CCCCCCCCOP(=O)(OCCCCCCCC)OCCCCCCCN(CCO)CCCCCCCC(=O)OC(C)CCCCCCCC,1,,
Compound 134,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCCCOC(=O)C(CCCCCC)CCCCCCCC,1,,
Compound 135,CCCCCCCCC(C)OC(=O)CCCCCCCN(CCO)CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC,1,,
Compound 138,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OCCCCCCCCC,1,,
Compound 139,CCCCCC/C=C\COC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC/C=C\CCCCCC,1,,
Compound 140,CCCCCCCC/C=C\COC(=O)CCCCCN(CCO)CCCCCC(=O)OC/C=C\CCCCCCCC,1,,
Compound 141,CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCC(=O)OCCCCCCCCCCC,1,,
Compound 142,O=C([O-])CCCCCCCCCCCN(CCO)CCCCCCCCCCCC(=O)[O-],1,,
Compound 143,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCC(=O)OCC(CCCCCCCC)CCCCCCCC,1,,
Compound 144,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)N(CCCCCCCC)CCCCCCCC,1,,
Compound 145,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)N(C)CCCCCCCC,1,,
Compound 146,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC(=O)N(C)CCCCCCCC,1,,
Compound 147,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCCCC(=O)OC(CCCCCC)CCCCCC,1,,
Compound 148,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OCC(CCCCCCC)OC,1,,
Compound 149,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(C)CCCCCCCCCC(=O)OCCCCCCC,1,,
Compound 150,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(C)CCCCCCCCCCCC(=O)OCCCCC,1,,
Compound 151,CCCCCCCCCC(=O)OCCCCCCCN(CCO)CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC,1,,
Compound 153,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCCCC(CCCCCCCC)CCCCCCCC,1,,
Compound 172,CCCCCCCCC(C)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 18,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 2,CCCCCCCCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 25,CCCCCCCC(CCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCC)CCCCCCC,1,,
Compound 27,CCCCCCCC(CCCCC)OC(=O)CCCCCN(CCO)CCCCCC(=O)OC(CCCCC)CCCCCCC,1,,
Compound 28,CCCCCCCC(CCCCC)OC(=O)CCCCCCCCN(CCO)CCCCCCCCC(=O)OC(CCCC)CCC1CC1CCC,1,,
Compound 29,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 30,CCCCCCCC(CCCCC)OC(=O)CCCCN(CCO)CCCCC(=O)OC(CCCCC)CCCCCCC,1,,
Compound 33,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 47,CCCCCCCC(CCCCC)OC(=O)CCCCCCCCN(CCO)CCCCCCCCC(=O)OC(CCCC)CCC1CC1CCC,1,,
Compound 53,CCCCCCCC(CCCCC)OC(=O)CCCCN(CCO)CCCCC(=O)OC(CCCCC)CCCCCCC,1,,
Compound 54,CCCCCCCC(CCCCC)OC(=O)CCCCCN(CCO)CCCCCC(=O)OC(CCCCC)CCCCCCC,1,,
Compound 56,CCCCCCCC(CCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCC)CCCCCCC,1,,
Compound 66,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC1CCC(CCCCC)CC1,1,,
Compound 67,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCC(=O)OC1CCC(CCCCC)CC1,1,,
Compound 68,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC(=O)OC1CCC(CCCCC)CC1,1,,
Compound 69,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CC(O)CO,1,,
Compound 70,CCCCCCCCC(C)OC(=O)CCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 71,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCC(=O)OC(CCCCC)CCCCCCCC,1,,
Compound 72,CCCCCCCCC(CC)OC(=O)CCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 73,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCC(=O)OC(CCCCCC)CCCCCCCC,1,,
Compound 74,CCCCCCCCC(CCC)OC(=O)CCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 75,CCCCCCCCC(CC)OC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 79,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC1CCC(CCCCC)CC1,1,,
Compound 80,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC1CCC(C2CCCCC2)CC1,1,,
Compound 94,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)Cc1ccccc1,1,,
Compound 96,CCCCCCCCCC(=O)OCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
Compound 98,CCCCCCCCCC(=O)OC(C)CCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
DMPC,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,1,,
DOPC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,1,,
DOPG,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCC/C=C\CCCCCCCC.[Na],1,,
DPPC,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,1,,
DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,1,,
DUPC,CCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC,1,,
Formula A,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
POPC,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1,,
X4. Compound 68,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC(=O)OC1CCC(CCCCC)CC1,1,,
XX100,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN/C(=N/[N+](=O)[O-])NC,1,,
XX107,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC(=N)N,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN=C(NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,1.0
XX118,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1cc(CO)nn1,1,,
XX132,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCC(=O)OC1CCC(CCCCC)CC1,1,,
XX48,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCC)COC,1,,
XX52,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCC/C=C\C(CCCCCCCC)CCCCCCCC,1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC=CC(CCCCCCCC)CCCCCCCC,1.0
XX54,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCOCCO,1,,
XX55,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(C)(C)C,1,,
XX56,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C(CO)CO,1,,
XX57,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C(C)CO,1,,
XX58,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(C)(C)C,1,,
XX59,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
XX60,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCC1CC1CCCC)CCC1CC1CCCC,1,,
XX61,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)C(C)CCCCCCCCOC(=O)CCCCCCC,1,,
XX62,CCCCCCCCC(CCCCCCCC)C(=O)OCCCCCCCN(CCO)C(C)CCCCCCCCOC(=O)CCCCCCC,1,,
