Source_Page,Extraction_Source,Compound_Type,Example_ID,Chemical_Name,SMILES,IUPAC_EN,Confidence_Level,Data_Quality_Flag
37,Text,Target_Compound,DC-Chol,,CN(CCNC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@@]4([C@H](CC[C@H]4[C@@H]3CCC2C1)C(C)C)C)C)C,"3-(N-(N',N'-dimethylaminoethane)-carbamoyl)cholesterol",HIGH,OK
37,Text,Target_Compound,DDAB,,[Br-].C(CCCCCCCCCCCCCCCCC)[N+](C)(C)CCCCCCCCCCCCCCCCCC,"N,N-distearyl-N,N-dimethylammonium bromide",HIGH,OK
37,Text,Target_Compound,DLin-C-DAP,,C(CCCCCCC\C=C/C\C=C/CCCCC)C(C(CN(C)C)CCCCCCCC\C=C/C\C=C/CCCCC)OC(N)=O,"1,2-dilinoleylcarbamoyloxy-3-dimethylaminopropane",HIGH,OK
37,Text,Target_Compound,DLin-DAC,,C(C)(=O)OC(C(CN(C)C)OCCCCCCCC\C=C/C\C=C/CCCCC)OCCCCCCCC\C=C/C\C=C/CCCCC,"1,2-dilinoleyoxy-3-(dimethylamino)acetoxypropane",HIGH,OK
37,Text,Target_Compound,DLin-EG-DMA,,C(CCCCCCC\C=C/C\C=C/CCCCC)OCC(COCCN(C)C)OCCCCCCCC\C=C/C\C=C/CCCCC,"1,2-dilinoleyloxo-3-(2-N,N-dimethylamino)ethoxypropane",HIGH,OK
37,Text,Target_Compound,DLin-K6-DMA,,C(CCCCCCC\C=C/C\C=C/CCCCC)C1(OCC(CO1)CN(C)C)CCCCCCCC\C=C/C\C=C/CCCCC,"2,2-dilinoleyl-5-dimethylaminomethyl-[1,3]-dioxane",HIGH,OK
37,Text,Target_Compound,DLin-K-DMA,,C(CCCCCCC\C=C/C\C=C/CCCCC)C1(OCC(O1)CN(C)C)CCCCCCCC\C=C/C\C=C/CCCCC,"2,2-dilinoleyl-4-dimethylaminomethyl-[1,3]-dioxolane",HIGH,OK
37,Text,Target_Compound,DLin-K-MPZ,,C(CCCCCCC\C=C/C\C=C/CCCCC)C1(N(CCN(C1)C)C1OCCO1)CCCCCCCC\C=C/C\C=C/CCCCC,"2,2-dilinoleyl-4-N-methylpiperazino-[1,3]-dioxolane",MEDIUM,Check_Stereo_Ambiguity
37,Text,Target_Compound,DLin-MPZ,,C(CCCCCCC\C=C/C\C=C/CCCCC)OCC(CN1CCN(CC1)C)OCCCCCCCC\C=C/C\C=C/CCCCC,"1,2-dilinoleyloxy-3-(N-methylpiperazino)propane",HIGH,OK
37,Text,Target_Compound,DLin-S-DMA,,C(CCCCCCC\C=C/C\C=C/CCCCC)SCC(CN(C)C)SCCCCCCCC\C=C/C\C=C/CCCCC,"1,2-dilinoleylthio-3-dimethylaminopropane",HIGH,OK
37,Text,Target_Compound,DLin-TAP.Cl,,[Cl-].C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)C(C(C[N+](C)(C)C)C(CCCCCCC\C=C/C\C=C/CCCCC)=O)[O-],"1,2-dilinoleoyl-3-trimethylaminopropane chloride salt",HIGH,OK
37,Text,Target_Compound,DLin-TMA.Cl,,[Cl-].C(CCCCCCCC=CCC=CCCCCC)OCC(C[N+](C)(C)C)OCCCCCCCCC=CCC=CCCCCC,"1,2-dilinoleyloxy-3-trimethylaminopropane chloride salt",HIGH,OK
37,Text,Target_Compound,DLinAP,,C(CCCCCCC\C=C/C\C=C/CCCCC)N(CCCCCCCC\C=C/C\C=C/CCCCC)CC(CO)O,"3-(N,N-dilinoleylamino)-1,2-propanediol",HIGH,OK
37,Text,Target_Compound,DLinDAP,,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)CC(CN(C)C)C(CCCCCCC\C=C/C\C=C/CCCCC)=O,"1,2-dilinoleoyl-3-dimethylaminopropane",HIGH,OK
37,Text,Target_Compound,DLinDMA,,C(CCCCCCC\C=C/C\C=C/CCCCC)OC(C(C)OCCCCCCCC\C=C/C\C=C/CCCCC)N(C)C,"1,2-dilinoleyloxy-N,N-dimethylaminopropane",HIGH,OK
37,Text,Target_Compound,DMRIE,,[Br-].C(CCCCCCCCCCCCC)OCC(C[N+](CCO)(C)C)OCCCCCCCCCCCCCC,"N-(1,2-dimyristyloxyprop-3-yl)-N,N-dimethyl-N-hydroxyethyl ammonium bromide",HIGH,OK
37,Text,Target_Compound,DOAP,,C(CCCCCCC\C=C/CCCCCCCC)N(CCCCCCCC\C=C/CCCCCCCC)CC(CO)O,"3-(N,N-dioleylamino)-1,2-propanediol",MEDIUM,Check_Stereo_Ambiguity
37,Text,Target_Compound,DOcarbDAP,,C(CCCCCCC\C=C/CCCCCCCC)(=O)OC(C(C)OC(CCCCCCC\C=C/CCCCCCCC)=O)N(C)C,"1,2-N,N'-dioleylcarbamyl-3-dimethylaminopropane",HIGH,OK
37,Text,Target_Compound,DODAC,,[Cl-].C(CCCCCCC\C=C/CCCCCCCC)[N+](C)(C)CCCCCCCC\C=C/CCCCCCCC,"N,N-dioleyl-N,N-dimethylammonium chloride",HIGH,OK
37,Text,Target_Compound,DODMA,,C(CCCCCCC\C=C/CCCCCCCC)OC(C(C)OCCCCCCCC\C=C/CCCCCCCC)N(C)C,"1,2-dioleyloxy-N,N-dimethylaminopropane",HIGH,OK
37,Text,Target_Compound,DOGS,,C(CCCCCCCCCCCCCCCCC)N(CC(=O)NCCCNCCCCNCCCN)CCCCCCCCCCCCCCCCCC,dioctadecylamidoglycyl spermine,HIGH,OK
37,Text,Target_Compound,DOSPA,,FC(C(=O)[O-])(F)F.C(CCCCCCCC=CCCCCCCCC)(=O)OC(CC(CC)[NH+](C)C)COC(CCCCCCCC=CCCCCCCCC)=O,"2,3-dioleyloxy-N-[2(spermine-carboxamido)ethyl]-N,N-dimethyl-1-propanaminiumtrifluoroacetate",HIGH,OK
37,Text,Target_Compound,DOTAP,DOTMA,[Cl-].C(CCCCCCCC=CCCCCCCCC)(=O)OC(COC(CC)[N+](C)(C)C)COC(CCCCCCCC=CCCCCCCCC)=O,"N-(1-(2,3-dioleoyloxy)propyl)-N,N,N-trimethylammonium chloride",HIGH,OK
37,Text,Target_Compound,DOTMA,DOTAP,[Cl-].C(CCCCCCCC=CCCCCCCCC)(=O)OC(COC(CC)[N+](C)(C)C)COC(CCCCCCCC=CCCCCCCCC)=O,"N-(1-(2,3-dioleyloxy)propyl)-N,N,N-trimethylammonium chloride",HIGH,OK
37,Text,Target_Compound,DSDMA,,C(CCCCCCCCCCCCCCCCC)OC(C(C)OCCCCCCCCCCCCCCCCCC)N(C)C,"1,2-distearyloxy-N,N-dimethylaminopropane",HIGH,OK
