Source_Page,Extraction_Source,Compound_Type,Example_ID,Chemical_Name,SMILES,IUPAC_EN,Confidence_Level,Data_Quality_Flag
6,Text,Target_Compound,-,,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)OCC(COC(CC12CC3CC(CC(C1)C3)C2)=O)COC(=O)OCCCN(CC)CC,"3-[(1-Adamantanyl)acetoxy]-2-{[3-(diethylamino)propoxycarbonyloxy]methyl}propyl (9Z,12Z)-9,12-octadecadienoate",HIGH,OK
6,Text,Target_Compound,DSPC,,C(CCCCCCCCCCCCCCCCC)(=O)OC[C@@H](OC(CCCCCCCCCCCCCCCCC)=O)COP(=O)([O-])OCC[N+](C)(C)C,"1,2-distearoyl-sn-glycero-3-phosphocholine",HIGH,OK
15,Image,Target_Compound,Example 1-001,,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)OCC(COC(CC12CC3CC(CC(C1)C3)C2)=O)COC(=O)OCCCN(CC)CC,"3-(2-(1-adamantyl)acetoxy)-2-((((3-(diethylamino)propoxy)carbonyl)oxy)methyl)propyl (9Z,12Z)-octadeca-9,12-dienoate",HIGH,OK
15,Image,Target_Compound,Example 2-001,,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)OCC(COC(CC12CC3CC(CC(C1)C3)C2)=O)COC(=O)OCCCN2CCCC2,"3-(2-(1-adamantyl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl (9Z,12Z)-octadeca-9,12-dienoate",HIGH,OK
21,Image,Target_Compound,Example 3-001,,OC(C(=O)NCCCN(CCCNC(C(CCCCCCCC)O)=O)CC(CCCCCCCC)O)CCCCCCCC,2-hydroxy-N-(3-((2-hydroxydecyl)(3-(2-hydroxydecanamido)propyl)amino)propyl)decanamide,HIGH,OK
21,Image,Target_Compound,Example 4-001,,OC(C(=O)NCCCN(CCCNC(C(CCCCCCCCCCCC)O)=O)CC(CCCCCCCCCCCC)O)CCCCCCCCCCCC,2-hydroxy-N-(3-((2-hydroxytetradecyl)(3-(2-hydroxytetradecanamido)propyl)amino)propyl)tetradecanamide,HIGH,OK
22,Image,Target_Compound,Example 5-001,,OC(C(=O)NCCCN(CCCNC(C(CCCCCCCCCCCCC)O)=O)CC(CCCCCCCCCCCCC)O)CCCCCCCCCCCCC,2-hydroxy-N-(3-((2-hydroxypentadecyl)(3-(2-hydroxypentadecanamido)propyl)amino)propyl)pentadecanamide,HIGH,OK
22,Image,Target_Compound,Example 6-001,,OC(C(=O)NCCCN(CCCNC(C(CCCCCCCCCCCCCC)O)=O)CC(CCCCCCCCCCCCCC)O)CCCCCCCCCCCCCC,2-hydroxy-N-(3-((2-hydroxyhexadecyl)(3-(2-hydroxyhexadecanamido)propyl)amino)propyl)hexadecanamide,HIGH,OK
23,Image,Target_Compound,Example 7-001,,OC(C(=O)NCCCN(CCCNC(C(CCCCCCCCCCCCCCCC)O)=O)CC(CCCCCCCCCCCCCCCC)O)CCCCCCCCCCCCCCCC,2-hydroxy-N-(3-((2-hydroxyoctadecyl)(3-(2-hydroxyoctadecanamido)propyl)amino)propyl)octadecanamide,HIGH,OK
23,Image,Target_Compound,Example 8-001,,OC(C(=O)NCCCN(CCCNC(C(CCCCCCCCCC)O)=O)CC(CCCCCCCCCC)O)CCCCCCCCCC,2-hydroxy-N-(3-((2-hydroxydodecyl)(3-(2-hydroxydodecanamido)propyl)amino)propyl)dodecanamide,HIGH,OK
23,Image,Target_Compound,Example 9-001,,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)OCC(COC(CCCCCCC\C=C/C\C=C/CCCCC)=O)OC(=O)OCCCN1CCN(CC1)C,"2-(((3-(4-methylpiperazin-1-yl)propoxy)carbonyl)oxy)propane-1,3-diyl bis((9Z,12Z)-octadeca-9,12-dienoate)",HIGH,OK
23,Image,Target_Compound,Example 10-001,,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)OCC(COC(CCCCCCC\C=C/C\C=C/CCCCC)=O)OC(=O)OCCCN1CCCC1,"2-(((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)propane-1,3-diyl bis((9Z,12Z)-octadeca-9,12-dienoate)",HIGH,OK
24,Image,Target_Compound,Example 11-001,,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)OCC(COC(CCCCCCC\C=C/C\C=C/CCCCC)=O)OC(=O)OCCCN(CC)CC,"2-(((3-(diethylamino)propoxy)carbonyl)oxy)propane-1,3-diyl bis((9Z,12Z)-octadeca-9,12-dienoate)",HIGH,OK
24,Image,Target_Compound,Example 12-001,,C(OC(COC(CCCCCCC\C=C/C\C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O)(OCCCN(CC)CC)=O,"1-((9Z,12Z)-octadeca-9,12-dienoyloxy)-3-(stearoyloxy)propan-2-yl (3-(diethylamino)propyl) carbonate",HIGH,OK
