paragraph_no,compound_name,iupac_name,inchi,smiles,has_structure_fig,other_info
[0003],novel lipid,,,,False,a component of lipid nanoparticle compositions
[0003],cationic and/or ionizable amino lipids,,,,False,a component of lipid nanoparticle compositions
[0003],phospholipids including polyunsaturated lipids,,,,False,a component of lipid nanoparticle compositions
[0003],PEG lipids,,,,False,a component of lipid nanoparticle compositions
[0003],structural lipids,,,,False,a component of lipid nanoparticle compositions
[0004],small molecule drugs,,,,False,biologically active substances
[0004],proteins,,,,False,biologically active substances
[0004],nucleic acids,,,,False,biologically active substances
[0005],cationic and/or amino (ionizable) lipids,,,,False,"a component of lipid-containing nanoparticle compositions, liposomes, and lipoplexes; can be protonated"
[0005],phospholipids including polyunsaturated lipids,,,,False,"a component of lipid-containing nanoparticle compositions, liposomes, and lipoplexes"
[0005],structural lipids,,,,False,"e.g., sterols; a component of lipid-containing nanoparticle compositions, liposomes, and lipoplexes"
[0005],lipids containing polyethylene glycol (PEG lipids),,,,False,"a component of lipid-containing nanoparticle compositions, liposomes, and lipoplexes"
[0005],small molecule drugs,,,,False,biologically active substances
[0005],proteins,,,,False,biologically active substances
[0005],nucleic acids,,,,False,biologically active substances
[0007],Formula (I),,,,True,A first aspect of the disclosure relates to compounds of Formula (I)
[0071],H,,[H],[H],False,"R9 is selected from the group consisting of H, CN, NO2, C1-6 alkyl, —OR, —S(O)2R, —S(O)2N(R)2, C2-6 alkenyl, C3-6 carbocycle and heterocycle"
[0071],CN,,[C][N],[C][N],False,"R9 is selected from the group consisting of H, CN, NO2, C1-6 alkyl, —OR, —S(O)2R, —S(O)2N(R)2, C2-6 alkenyl, C3-6 carbocycle and heterocycle"
[0071],NO2,,[N+](=O)[O-],[N+](=O)[O-],False,"R9 is selected from the group consisting of H, CN, NO2, C1-6 alkyl, —OR, —S(O)2R, —S(O)2N(R)2, C2-6 alkenyl, C3-6 carbocycle and heterocycle"
[0072],H,,[H],[H],False,"each R is independently selected from the group consisting of C1-3 alkyl, C2-3 alkenyl, and H"
[0073],H,,[H],[H],False,"each R′ is independently selected from the group consisting of C1-18 alkyl, C2-18 alkenyl, —R*YR″, —YR″, and H"
[0112],Formula (IA),,,,True,"1 is selected from 1, 2, 3, 4, and 5; m is selected from 5, 6, 7, 8, and 9; M1 is a bond or M′; R4 is unsubstituted C1-3 alkyl, or —(CH2)nQ, in which Q is OH, —NHC(S)N(R)2, —NHC(O)N(R)2, —N(R)C(O)R, —N(R)S(O)2R, —N(R)R8, —NHC(═NR9)N(R)2, —NHC(═CHR9)N(R)2, —OC(O)N(R)2, —N(R)C(O)OR, heteroaryl or heterocycloalkyl; M and M′ are independently selected from —C(O)O—, —OC(O)—, —C(O)N(R′)—, —P(O)(OR′)O—, —S—S—, an aryl group, and a heteroaryl group; and R2 and R3 are independently selected from the group consisting of H, C1-14 alkyl, and C2-14 alkenyl."
[0113],Formula (II),,,,True,"1 is selected from 1, 2, 3, 4, and 5; M1 is a bond or M′; R4 is unsubstituted C1-3 alkyl, or —(CH2)nQ, in which n is 2, 3, or 4, and Q is OH, —NHC(S)N(R)2, —NHC(O)N(R)2, —N(R)C(O)R, —N(R)S(O)2R, —N(R)R8, —NHC(═NR9)N(R)2, —NHC(═CHR9)N(R)2, —OC(O)N(R)2, —N(R)C(O)OR, heteroaryl or heterocycloalkyl; M and M′ are independently selected from —C(O)O—, —OC(O)—, —C(O)N(R′)—, —P(O)(OR′)O—, —S—S—, an aryl group, and a heteroaryl group; and R2 and R3 are independently selected from the group consisting of H, C1-14 alkyl, and C2-14 alkenyl."
[0114],Formula (IIa),,,,True,R4 is as described herein.
[0114],Formula (IIb),,,,True,R4 is as described herein.
[0114],Formula (IIc),,,,True,R4 is as described herein.
[0114],Formula (IIe),,,,True,R4 is as described herein.
[0115],Formula (IId),,,,True,"n is 2, 3, or 4; and m, R′, R″, and R2 through R6 are as described herein. For example, each of R2 and R3 may be independently selected from the group consisting of C5-14 alkyl and C5-14 alkenyl."
[0116],compound according to Formula (I),,,,False,Referenced by Formula (I)
[0116],compound according to Formula (IA),,,,False,Referenced by Formula (IA)
