paragraph_no,compound_name,iupac_name,inchi,smiles,has_structure_fig,other_info,opsin_smiles,opsin_inchi,pubchem_smiles,pubchem_inchi,cir_smiles,cir_inchi,selected_inchi,selected_count,selected_sources
[0524],Compound 2,Heptadecan-9-yl 8-((2-hydroxyethyl)(tetradecyl)amino)octanoate,,,False,,OCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCCCCCCCC,"InChI=1/C41H83NO3/c1-4-7-10-13-16-17-18-19-20-21-26-31-36-42(38-39-43)37-32-27-22-25-30-35-41(44)45-40(33-28-23-14-11-8-5-2)34-29-24-15-12-9-6-3/h40,43H,4-39H2,1-3H3",,"InChI=1S/C41H83NO3/c1-4-7-10-13-16-17-18-19-20-21-26-31-36-42(38-39-43)37-32-27-22-25-30-35-41(44)45-40(33-28-23-14-11-8-5-2)34-29-24-15-12-9-6-3/h40,43H,4-39H2,1-3H3",CCCCCCCCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"InChI=1/C41H83NO3/c1-4-7-10-13-16-17-18-19-20-21-26-31-36-42(38-39-43)37-32-27-22-25-30-35-41(44)45-40(33-28-23-14-11-8-5-2)34-29-24-15-12-9-6-3/h40,43H,4-39H2,1-3H3","InChI=1/C41H83NO3/c1-4-7-10-13-16-17-18-19-20-21-26-31-36-42(38-39-43)37-32-27-22-25-30-35-41(44)45-40(33-28-23-14-11-8-5-2)34-29-24-15-12-9-6-3/h40,43H,4-39H2,1-3H3",2,OPSIN;CIR
[0551],Compound 1,Heptadecan-9-yl 8-((2-hydroxyethyl)(octadecyl)amino)octanoate,,,False,,OCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCCCCCCCCCCCC,"InChI=1/C45H91NO3/c1-4-7-10-13-16-17-18-19-20-21-22-23-24-25-30-35-40-46(42-43-47)41-36-31-26-29-34-39-45(48)49-44(37-32-27-14-11-8-5-2)38-33-28-15-12-9-6-3/h44,47H,4-43H2,1-3H3",,"InChI=1S/C45H91NO3/c1-4-7-10-13-16-17-18-19-20-21-22-23-24-25-30-35-40-46(42-43-47)41-36-31-26-29-34-39-45(48)49-44(37-32-27-14-11-8-5-2)38-33-28-15-12-9-6-3/h44,47H,4-43H2,1-3H3",CCCCCCCCCCCCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"InChI=1/C45H91NO3/c1-4-7-10-13-16-17-18-19-20-21-22-23-24-25-30-35-40-46(42-43-47)41-36-31-26-29-34-39-45(48)49-44(37-32-27-14-11-8-5-2)38-33-28-15-12-9-6-3/h44,47H,4-43H2,1-3H3","InChI=1/C45H91NO3/c1-4-7-10-13-16-17-18-19-20-21-22-23-24-25-30-35-40-46(42-43-47)41-36-31-26-29-34-39-45(48)49-44(37-32-27-14-11-8-5-2)38-33-28-15-12-9-6-3/h44,47H,4-43H2,1-3H3",2,OPSIN;CIR
[0555],Compound 3,Heptadecan-9-yl 8-((2-hydroxyethyl)(nonyl)amino)octanoate,,,False,,OCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCCC,"InChI=1/C36H73NO3/c1-4-7-10-13-16-21-26-31-37(33-34-38)32-27-22-17-20-25-30-36(39)40-35(28-23-18-14-11-8-5-2)29-24-19-15-12-9-6-3/h35,38H,4-34H2,1-3H3",,"InChI=1S/C36H73NO3/c1-4-7-10-13-16-21-26-31-37(33-34-38)32-27-22-17-20-25-30-36(39)40-35(28-23-18-14-11-8-5-2)29-24-19-15-12-9-6-3/h35,38H,4-34H2,1-3H3",CCCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"InChI=1/C36H73NO3/c1-4-7-10-13-16-21-26-31-37(33-34-38)32-27-22-17-20-25-30-36(39)40-35(28-23-18-14-11-8-5-2)29-24-19-15-12-9-6-3/h35,38H,4-34H2,1-3H3","InChI=1/C36H73NO3/c1-4-7-10-13-16-21-26-31-37(33-34-38)32-27-22-17-20-25-30-36(39)40-35(28-23-18-14-11-8-5-2)29-24-19-15-12-9-6-3/h35,38H,4-34H2,1-3H3",2,OPSIN;CIR
[0559],Compound 4,Heptadecan-9-yl 8-((2-hydroxyethyl)(octyl)amino)octanoate,,,False,,OCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC,"InChI=1/C35H71NO3/c1-4-7-10-13-17-22-27-34(28-23-18-14-11-8-5-2)39-35(38)29-24-19-16-21-26-31-36(32-33-37)30-25-20-15-12-9-6-3/h34,37H,4-33H2,1-3H3",,"InChI=1S/C35H71NO3/c1-4-7-10-13-17-22-27-34(28-23-18-14-11-8-5-2)39-35(38)29-24-19-16-21-26-31-36(32-33-37)30-25-20-15-12-9-6-3/h34,37H,4-33H2,1-3H3",CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC,"InChI=1/C35H71NO3/c1-4-7-10-13-17-22-27-34(28-23-18-14-11-8-5-2)39-35(38)29-24-19-16-21-26-31-36(32-33-37)30-25-20-15-12-9-6-3/h34,37H,4-33H2,1-3H3","InChI=1/C35H71NO3/c1-4-7-10-13-17-22-27-34(28-23-18-14-11-8-5-2)39-35(38)29-24-19-16-21-26-31-36(32-33-37)30-25-20-15-12-9-6-3/h34,37H,4-33H2,1-3H3",2,OPSIN;CIR
[0563],Compound 5,Heptadecan-9-yl 8-(hexyl(2-hydroxyethyl)amino)octanoate,,,False,,C(CCCCC)N(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,"InChI=1/C33H67NO3/c1-4-7-10-13-16-20-25-32(26-21-17-14-11-8-5-2)37-33(36)27-22-18-15-19-24-29-34(30-31-35)28-23-12-9-6-3/h32,35H,4-31H2,1-3H3",,"InChI=1S/C33H67NO3/c1-4-7-10-13-16-20-25-32(26-21-17-14-11-8-5-2)37-33(36)27-22-18-15-19-24-29-34(30-31-35)28-23-12-9-6-3/h32,35H,4-31H2,1-3H3",CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC,"InChI=1/C33H67NO3/c1-4-7-10-13-16-20-25-32(26-21-17-14-11-8-5-2)37-33(36)27-22-18-15-19-24-29-34(30-31-35)28-23-12-9-6-3/h32,35H,4-31H2,1-3H3","InChI=1/C33H67NO3/c1-4-7-10-13-16-20-25-32(26-21-17-14-11-8-5-2)37-33(36)27-22-18-15-19-24-29-34(30-31-35)28-23-12-9-6-3/h32,35H,4-31H2,1-3H3",2,OPSIN;CIR
[0571],Compound 6,"Heptadecan-9-yl 8-((2-hydroxyethyl)((9Z,12Z)-octadeca-9,12-dien-1-yl)amino)octanoate",,,False,"MS (ES): m/z (MH+) 690.84 for C45H87NO3. 1H NMR (300 MHz, CDCl3) δ: ppm 5.37 (m, 4H); 4.86 (br. m, 1H); 3.53 (br. m; 2H); 2.78 (br. m, 2H); 2.58 (br. m, 2H); 2.45 (br. m, 4H); 2.28 (m, 2H); 2.05 (m, 4H); 1.68-1.15 (br. m, 57H); 0.89 (m, 9H).",OCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC\C=C/C\C=C/CCCCC,"InChI=1/C45H87NO3/c1-4-7-10-13-16-17-18-19-20-21-22-23-24-25-30-35-40-46(42-43-47)41-36-31-26-29-34-39-45(48)49-44(37-32-27-14-11-8-5-2)38-33-28-15-12-9-6-3/h16-17,19-20,44,47H,4-15,18,21-43H2,1-3H3/b17-16-,20-19-",,"InChI=1S/C45H87NO3/c1-4-7-10-13-16-17-18-19-20-21-22-23-24-25-30-35-40-46(42-43-47)41-36-31-26-29-34-39-45(48)49-44(37-32-27-14-11-8-5-2)38-33-28-15-12-9-6-3/h16-17,19-20,44,47H,4-15,18,21-43H2,1-3H3/b17-16-,20-19-",CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC\C=C/C/C=C\CCCCC,"InChI=1/C45H87NO3/c1-4-7-10-13-16-17-18-19-20-21-22-23-24-25-30-35-40-46(42-43-47)41-36-31-26-29-34-39-45(48)49-44(37-32-27-14-11-8-5-2)38-33-28-15-12-9-6-3/h16-17,19-20,44,47H,4-15,18,21-43H2,1-3H3/b17-16-,20-19-","InChI=1/C45H87NO3/c1-4-7-10-13-16-17-18-19-20-21-22-23-24-25-30-35-40-46(42-43-47)41-36-31-26-29-34-39-45(48)49-44(37-32-27-14-11-8-5-2)38-33-28-15-12-9-6-3/h16-17,19-20,44,47H,4-15,18,21-43H2,1-3H3/b17-16-,20-19-",2,OPSIN;CIR
[0571],Compound 7,Heptadecan-9-yl 8-((3-hydroxypropyl)(nonyl)amino)octanoate,,,False,,OCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCCC,"InChI=1/C37H75NO3/c1-4-7-10-13-16-21-26-32-38(34-28-35-39)33-27-22-17-20-25-31-37(40)41-36(29-23-18-14-11-8-5-2)30-24-19-15-12-9-6-3/h36,39H,4-35H2,1-3H3",,"InChI=1S/C37H75NO3/c1-4-7-10-13-16-21-26-32-38(34-28-35-39)33-27-22-17-20-25-31-37(40)41-36(29-23-18-14-11-8-5-2)30-24-19-15-12-9-6-3/h36,39H,4-35H2,1-3H3",CCCCCCCCCN(CCCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"InChI=1/C37H75NO3/c1-4-7-10-13-16-21-26-32-38(34-28-35-39)33-27-22-17-20-25-31-37(40)41-36(29-23-18-14-11-8-5-2)30-24-19-15-12-9-6-3/h36,39H,4-35H2,1-3H3","InChI=1/C37H75NO3/c1-4-7-10-13-16-21-26-32-38(34-28-35-39)33-27-22-17-20-25-31-37(40)41-36(29-23-18-14-11-8-5-2)30-24-19-15-12-9-6-3/h36,39H,4-35H2,1-3H3",2,OPSIN;CIR
[0575],Compound 8,Heptadecan-9-yl 8-((3-(1H-imidazol-1-yl)propyl)(nonyl)amino)octanoate,,,False,,N1(C=NC=C1)CCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCCC,"InChI=1/C40H77N3O2/c1-4-7-10-13-16-21-26-33-42(35-28-36-43-37-32-41-38-43)34-27-22-17-20-25-31-40(44)45-39(29-23-18-14-11-8-5-2)30-24-19-15-12-9-6-3/h32,37-39H,4-31,33-36H2,1-3H3",,"InChI=1S/C40H77N3O2/c1-4-7-10-13-16-21-26-33-42(35-28-36-43-37-32-41-38-43)34-27-22-17-20-25-31-40(44)45-39(29-23-18-14-11-8-5-2)30-24-19-15-12-9-6-3/h32,37-39H,4-31,33-36H2,1-3H3",CCCCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1ccnc1,"InChI=1/C40H77N3O2/c1-4-7-10-13-16-21-26-33-42(35-28-36-43-37-32-41-38-43)34-27-22-17-20-25-31-40(44)45-39(29-23-18-14-11-8-5-2)30-24-19-15-12-9-6-3/h32,37-39H,4-31,33-36H2,1-3H3","InChI=1/C40H77N3O2/c1-4-7-10-13-16-21-26-33-42(35-28-36-43-37-32-41-38-43)34-27-22-17-20-25-31-40(44)45-39(29-23-18-14-11-8-5-2)30-24-19-15-12-9-6-3/h32,37-39H,4-31,33-36H2,1-3H3",2,OPSIN;CIR
[0583],Compound 9,Heptadecan-9-yl 8-((2-acetoxyethyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,,,False,"1H NMR (300 MHz, CDCl3) δ: ppm 7.46 (s, 1H); 7.05 (s, 1H); 6.91 (s, 1H); 4.84 (dt, 1H); 4.02 (br. s, 2H); 2.47 (br. s, 4H); 2.26 (t, 2H); 2.00 (br. s, 2H); 1.47-1.59 (br. m, 10H); 1.24 (br. m, 44H); 0.86 (t, 9H).",,,,,,,,0,
[0587],Compound 10,Heptadecan-9-yl 8-((2-hydroxypropyl)(8-(nonyloxy)-8-oxooctyl)amino) octanoate,,,False,,,,,,,,,0,
